time,knee_adduction_r,knee_adduction_l
6.07,2.30323608,24.85421262
6.0902631578947375,17.94580042,-0.11457829
6.110526315789474,116.16374494,-19.21872997
6.130789473684211,118.29146791,-80.02355342
6.151052631578947,85.83316617,-92.26773598
6.1713157894736845,56.77929684,-55.43175019
6.191578947368421,4.56393164,-63.6513355
6.211842105263158,-18.03633031,-89.46521713
6.232105263157895,-26.28232485,-42.5374746
6.252368421052632,-6.14758399,-11.80128507
6.272631578947369,-17.40028053,10.50831172
6.292894736842105,-25.64650225,20.38894863
6.313157894736842,-38.9609023,54.88524125
6.333421052631579,-56.96734582,38.96773118
6.353684210526316,-29.32477501,31.06634171
6.373947368421053,40.14978291,-11.04427603
6.394210526315789,35.42588708,-20.52174312
6.4144736842105265,106.29559146,-25.73845068
6.434736842105263,-75.63713298,8.09258648
6.455,53.88889467,-39.97380839
6.475263157894737,21.81106089,8.13694495
6.495526315789474,20.32098122,-15.24026709
6.515789473684211,-13.22437903,19.02739516
6.536052631578947,-26.63134683,19.29743011
6.556315789473684,9.74559989,32.10164235
6.5765789473684215,18.33000019,31.56905919
6.596842105263158,11.40739592,7.88944364
6.617105263157895,22.37840707,1.67346938
6.637368421052631,18.71454392,-28.86394329
6.657631578947369,14.21709383,-78.26765286
6.677894736842105,-3.41897871,-107.71042611
6.698157894736842,-16.16577827,-111.8488032
6.718421052631578,-11.32111756,-109.29289817
6.738684210526316,39.91090948,-86.27398217
6.758947368421053,16.52168809,-66.84706451
6.779210526315789,-3.73113245,-34.6720534
6.799473684210526,-12.84970423,-31.81382478
6.819736842105263,39.20757272,-9.75209024
