time,medial_knee_contact_force_r,medial_knee_contact_force_l
6.07,400.375788725,897.905154005
6.0902631578947375,831.31816147,253.80052124999997
6.110526315789474,3821.844499435,-183.003338365
6.130789473684211,3756.5418561799997,-1344.6591855249999
6.151052631578947,2624.7443634,-1988.5944402149998
6.1713157894736845,3094.12018035,-787.3010231249998
6.191578947368421,2434.5875692,-433.1549073699998
6.211842105263158,1048.3289042600002,-980.04648367
6.232105263157895,7.8306738,-582.51184676
6.252368421052632,729.42201628,423.120847885
6.272631578947369,532.51315721,556.0419816900001
6.292894736842105,512.1126298199999,1049.2529151850001
6.313157894736842,630.8894227100001,5793.587898379999
6.333421052631579,47.261171144999935,4428.43182027
6.353684210526316,1258.163851285,3672.08441108
6.373947368421053,2441.9009659699996,1047.249489995
6.394210526315789,1902.755240565,2548.181436395
6.4144736842105265,3840.2265116850003,626.4783558500001
6.434736842105263,-988.4214847699998,2542.11053346
6.455,2269.79629042,1158.867940735
6.475263157894737,1733.288295845,1830.12644574
6.495526315789474,1552.656342275,1534.653542195
6.515789473684211,921.2320896099999,2597.04029086
6.536052631578947,211.91227498000012,2534.265985035
6.556315789473684,1288.2300009300002,2098.277565875
6.5765789473684215,1269.8980205,2171.158729075
6.596842105263158,586.21811986,1203.199960045
6.617105263157895,1199.8682929200002,808.0569557849999
6.637368421052631,1638.12902162,387.38881666
6.657631578947369,1982.370049735,-712.499457155
6.677894736842105,1677.7826058599999,-1826.9205901149999
6.698157894736842,825.445605665,-2230.4791355
6.718421052631578,845.62673032,-2191.2011207349997
6.738684210526316,2058.975785025,-1361.0197607200002
6.758947368421053,2522.62289163,89.55817662499999
6.779210526315789,2173.75320244,-252.76562428
6.799473684210526,1072.6950892099999,-770.852032405
6.819736842105263,2260.9985592350004,-197.07899828499995
