,min,max,amplitude
pelvis_tilt,-36.35834053898721,19.09902453357172,55.45736507255893
pelvis_list,-33.65847728228249,15.901180323214694,49.559657605497186
pelvis_rotation,-66.5090661516005,22.37209029523918,88.88115644683968
pelvis_tx,-10.139899857071605,-1.964282013757354,8.175617843314251
pelvis_ty,0.7026437861199718,1.057936647460073,0.3552928613401013
pelvis_tz,0.02926156442091193,0.5903215907344672,0.5610600263135553
hip_flexion_r,-23.740451124687098,76.32653089136242,100.06698201604952
hip_adduction_r,-30.59413137255082,21.66241391794754,52.25654529049836
hip_rotation_r,-36.76338448187564,21.24595364824402,58.00933813011966
knee_angle_r,-0.22592580103694246,107.17023905086265,107.39616485189958
ankle_angle_r,-47.75183971349557,47.452363796174325,95.2042035096699
subtalar_angle_r,-37.65610199558438,15.676647465294153,53.33274946087853
mtp_angle_r,0.0,0.0,0.0
hip_flexion_l,-22.887515648373725,70.50418038392158,93.3916960322953
hip_adduction_l,-31.691066331135076,26.30328683062164,57.99435316175672
hip_rotation_l,-19.919241754882204,28.97432209531144,48.893563850193644
knee_angle_l,-0.11188952786884238,108.86370672363786,108.9755962515067
ankle_angle_l,-24.26832171973013,35.03939230177463,59.307714021504765
subtalar_angle_l,-36.07340248514172,4.420675955664819,40.49407844080654
mtp_angle_l,0.0,0.0,0.0
lumbar_extension,-19.332428042621892,24.42461542221512,43.75704346483701
lumbar_bending,-29.445049069240223,18.718687261548364,48.16373633078859
lumbar_rotation,-41.67723932496756,42.002412426558344,83.67965175152591
arm_flex_r,-355.037345745603,-80.93079260060618,274.1065531449968
arm_add_r,-203.12062796060053,10.516800738005724,213.63742869860624
arm_rot_r,-79.5834432836319,234.5333223468758,314.1167656305077
elbow_flex_r,2.226343314708349,146.40523657566615,144.1788932609578
pro_sup_r,54.68169533759287,120.04697448608769,65.36527914849482
arm_flex_l,-576.8843373440174,-231.64142666925662,345.24291067476076
arm_add_l,-189.02493011937878,17.923907152321576,206.94883727170037
arm_rot_l,-210.49054616992336,96.88437101475942,307.3749171846828
elbow_flex_l,-2.940449211483889,138.6146649668033,141.5551141782872
pro_sup_l,29.253776307073576,118.94549732537098,89.6917210182974
