Frame,Step Length
0,129.67000000000007
1,135.34000000000015
2,76.44000000000005
3,35.460000000000036
4,11.650000000000091
5,88.35999999999967
6,100.40000000000009
7,135.38999999999987
8,153.29999999999973
9,205.85999999999967
10,247.03999999999996
11,282.6100000000001
12,294.44000000000005
13,317.5799999999999
14,311.7999999999997
15,282.77999999999975
16,258.9000000000001
17,244.26999999999998
18,229.63999999999987
19,182.9100000000003
20,141.30000000000018
21,88.35999999999967
22,47.2800000000002
23,0.03999999999996362
24,35.2199999999998
25,99.82000000000016
26,129.5699999999997
27,159.08000000000038
28,188.6500000000001
29,235.28999999999996
30,259.3800000000001
31,288.5999999999999
32,312.0100000000002
33,329.75999999999976
34,329.5100000000002
35,294.8199999999997
36,282.21000000000004
37,241.03999999999996
38,194.03999999999996
39,146.88999999999987
40,82.46000000000004
41,47.05000000000018
42,0.22000000000025466
43,47.0600000000004
44,88.36999999999989
45,123.39000000000033
46,135.71000000000004
47,176.48000000000002
48,206.40999999999985
49,241.36000000000013
50,282.5
51,289.0999999999999
52,300.1100000000001
53,311.7600000000002
54,288.55999999999995
55,270.64999999999986
56,235.31999999999994
57,193.96000000000004
58,146.70000000000005
59,99.67999999999984
60,52.87999999999988
61,6.089999999999918
62,35.48000000000002
63,88.1099999999999
64,129.26999999999998
65,147.18999999999983
66,165.01999999999998
67,217.6400000000001
68,241.22000000000003
69,282.48
70,294.55999999999995
71,323.78999999999996
72,312.30999999999995
73,306.25
74,294.59000000000015
75,253.3900000000001
76,212.04999999999995
77,176.93000000000006
78,123.59000000000015
79,64.98000000000002
80,35.3900000000001
81,11.620000000000118
82,64.65000000000009
83,94.30999999999995
84,117.74000000000001
85,153.16999999999985
86,200.32000000000016
87,247.15999999999985
88,282.70000000000005
89,318.29999999999995
90,335.57400000000007
91,347.41200000000003
92,329.9910000000001
93,311.95799999999997
94,277.0179999999999
95,241.6239999999999
96,194.67499999999995
97,153.33399999999995
98,94.62400000000002
99,70.86300000000006
100,41.39099999999996
101,0.045999999999935426
102,64.63300000000004
103,111.72000000000003
104,123.48199999999997
105,153.14700000000005
106,182.66100000000006
107,229.59899999999993
108,271.02799999999996
109,294.461
110,317.60699999999997
111,288.76900000000006
112,282.916
113,253.56799999999998
114,241.43800000000005
115,188.36599999999999
116,141.06699999999995
117,88.37800000000004
118,41.353999999999985
119,0.4309999999999832
120,46.839
121,94.22500000000002
122,129.29
123,170.731
124,205.91290000000004
125,244.7155
